date,code,settlement_month,par_value,capital_stock,listed_stock,credit_rate,year_highest,year_lowest,market_cap,ROE,EPS,foreign_rate,sub_price,PER,PBR,EV,BPS,gross_profit,operation_income,net_income,250highest,250lowest,upper_limit,lower_limit,standard_price,250highest_date,250lowest_date,250lowest_rate,trading_rate,outstanding_stock,outstanding_rate,회사명,종목코드,업종,주요제품,상장일
20230923,011070,12,5000.0,1183.0,23667.0,1.4,321000.0,239000.0,57511.0,25.9,41401.0,19.78,174960.0,5.87,1.35,3.33,180255.0,195894.0,12718.0,9798.0,358000.0,239000.0,315500.0,170500.0,243000.0,20220923,20230908,1.67,108.55,14009.0,59.2,NaN,NaN,NaN,NaN,NaN
20230925,011070,12,5000.0,1183.0,23667.0,1.4,321000.0,239000.0,57511.0,25.9,41401.0,19.78,174960.0,5.87,1.35,3.33,180255.0,195894.0,12718.0,9798.0,358000.0,239000.0,315500.0,170500.0,243000.0,20220923,20230908,1.67,108.55,14009.0,59.2,NaN,NaN,NaN,NaN,NaN
20230926,011070,12,5000.0,1183.0,23667.0,1.4,321000.0,239000.0,57274.0,25.9,41401.0,19.84,178560.0,5.85,1.34,3.32,180255.0,195894.0,12718.0,9798.0,340000.0,239000.0,322000.0,174000.0,248000.0,20220926,20230908,1.26,112.86,14009.0,59.2,NaN,NaN,NaN,NaN,NaN
20230927,011070,12,5000.0,1183.0,23667.0,1.41,321000.0,239000.0,57866.0,25.9,41401.0,19.81,174240.0,5.91,1.36,3.35,180255.0,195894.0,12718.0,9798.0,327500.0,239000.0,314500.0,169500.0,242000.0,20221116,20230908,2.3,97.99,14009.0,59.2,NaN,NaN,NaN,NaN,NaN
20230928,011070,12,5000.0,1183.0,23667.0,1.41,321000.0,239000.0,57866.0,25.9,41401.0,19.81,174240.0,5.91,1.36,3.35,180255.0,195894.0,12718.0,9798.0,327500.0,239000.0,314500.0,169500.0,242000.0,20221116,20230908,2.3,99.06,14009.0,59.2,NaN,NaN,NaN,NaN,NaN
20230929,011070,12,5000.0,1183.0,23667.0,1.39,321000.0,239000.0,57866.0,25.9,41401.0,19.81,174240.0,5.91,1.36,3.35,180255.0,195894.0,12718.0,9798.0,327500.0,239000.0,314500.0,169500.0,242000.0,20221116,20230908,2.3,99.06,14009.0,59.2,NaN,NaN,NaN,NaN,NaN
20231004,011070,12,5000.0,1183.0,23667.0,1.39,321000.0,236500.0,56091.0,25.9,41401.0,19.81,180930.0,5.72,1.31,3.27,180255.0,195894.0,12718.0,9798.0,327500.0,236500.0,317500.0,171500.0,244500.0,20221116,20231004,0.21,158.92,14009.0,59.2,NaN,NaN,NaN,NaN,NaN
20231005,011070,12,5000.0,1183.0,23667.0,1.39,321000.0,236000.0,56091.0,25.9,41401.0,19.85,175380.0,5.72,1.31,3.27,180255.0,195894.0,12718.0,9798.0,327500.0,236000.0,308000.0,166000.0,237000.0,20221116,20231005,0.42,48.33,14009.0,59.2,NaN,NaN,NaN,NaN,NaN
20231006,011070,12,5000.0,1183.0,23667.0,1.37,321000.0,227500.0,54434.0,25.9,41401.0,19.76,175380.0,5.56,1.28,3.19,180255.0,195894.0,12718.0,9798.0,327500.0,227500.0,308000.0,166000.0,237000.0,20221116,20231006,1.1,239.9,14009.0,59.2,NaN,NaN,NaN,NaN,NaN
20231010,011070,12,5000.0,1183.0,23667.0,1.35,321000.0,227500.0,55499.0,25.9,41401.0,19.79,170200.0,5.66,1.3,3.24,180255.0,195894.0,12718.0,9798.0,327500.0,227500.0,299000.0,161000.0,230000.0,20221116,20231006,3.08,91.03,14009.0,59.2,NaN,NaN,NaN,NaN,NaN
