index,id,order_num,code,code_name,rate,purchase_rate,purchase_price,present_price,valuation_price,valuation_profit,holding_amount,buy_date,item_total_purchase,chegyul_check,reinvest_count,reinvest_date,invest_unit,reinvest_unit,sell_date,sell_price,sell_rate,rate_std,rate_std_mod_val,rate_std_htr,rate_htr,rate_std_mod_val_htr,yes_close,close,d1_diff_rate,d1_diff,open,high,low,volume,clo5,clo10,clo20,clo40,clo60,clo80,clo100,clo120,clo5_diff_rate,clo10_diff_rate,clo20_diff_rate,clo40_diff_rate,clo60_diff_rate,clo80_diff_rate,clo100_diff_rate,clo120_diff_rate
0,0,0,002320,한진,5.66,0.5,30200,32000,510571,27371,16,202201040933,483200,0,0,0,500000,0,202201050900,32000,5.66,0,0,0,0,0,30050,32400,7.82,0,31900,32400,29950,159235,30750,30365,30222,30563,31895,33308,34547,35730,-0.99,-0.23,-0.17,-1.71,-5.89,-10.02,-13.25,-16.08
0,0,0,210980,SK디앤디,2.73,1.53,29850,30750,490625,13025,16,202201121031,477600,0,0,0,500000,0,202203150900,30750,2.73,0,0,0,0,0,29400,30800,-1.28,0,30750,31500,30700,20929,30880,30600,29717,29208,29879,29867,30160,30795,-2.71,-5.16,-5.52,-3.57,-4.33,-6.6,-10.39,-12.32
0,0,0,060560,홈센타홀딩스,6.69,2.23,1145,1225,532610,33390,436,202201200903,499220,0,0,0,500000,0,202202280900,1225,6.69,0,0,0,0,0,1120,1210,3.42,0,1210,1285,1195,3492217,1213,1197,1183,1192,1205,1230,1378,1493,-2.78,-5.25,-8.61,-8.52,-13.3,-24.09,-28.85,-26.27
0,0,0,012630,HDC,4.68,2.4,7240,7600,522935,23375,69,202201240910,499560,0,0,0,500000,0,202203280900,7600,4.68,0,0,0,0,0,7070,7600,-0.13,0,7600,7650,7520,143341,7662,7655,7695,7560,8193,8708,9025,9298,-4.61,-16,-25.25,-28.26,-29.31,-30.46,-32.23,-33.59
0,0,0,030210,다올투자증권,4.23,0.91,4975,5200,518547,21047,100,202201250901,497500,0,0,0,500000,0,202203290900,5200,4.23,0,0,0,0,0,4930,5160,-2.09,0,5200,5280,5150,281009,5152,5128,5086,5076,5117,5329,5526,5663,-2.95,-4.2,-5.19,-11.7,-15.37,-17.24,-20.14,-23.04
0,0,0,053210,스카이라이프,11.81,0.25,7920,8880,557883,58923,63,202201260901,498960,0,0,0,500000,0,202203230900,8880,11.81,0,0,0,0,0,7900,8810,0.34,0,8880,8870,8730,38635,8664,8483,8479,8454,8660,8788,9016,9180,-5.07,-7.68,-10.17,-12.22,-14.42,-16.29,-17.78,-18.85
0,0,0,234920,자이글,7.91,2.29,3350,3625,538619,39469,149,202201260912,499150,0,0,0,500000,0,202202100900,3625,7.91,0,0,0,0,0,3275,3630,5.99,0,3630,4095,3435,354183,3449,3390,3623,3837,3695,3679,3717,3813,-7.8,-11.71,-15.98,-15.08,-11.84,-11.69,-13.53,-16.51
0,0,0,071840,롯데하이마트,14.43,1.43,21350,24500,561933,70883,23,202201260915,491050,0,0,0,500000,0,202203290900,24500,14.43,0,0,0,0,0,21050,24400,-1.21,0,24400,24700,24250,29352,24650,24770,24270,23423,23720,24156,24639,25275,-5.05,-8.44,-12.55,-15.17,-16.92,-19.33,-22.12,-24.95
0,0,0,005160,동국산업,6.87,2.39,3210,3440,531712,34162,155,202201260928,497550,0,0,0,500000,0,202203040900,3440,6.87,0,0,0,0,0,3135,3440,0.58,0,3440,3455,3395,27662,3356,3322,3293,3331,3389,3456,3551,3608,-3.69,-6.1,-8.8,-9.07,-11.58,-13.85,-15.2,-15.52
0,0,0,002620,제일파마홀딩스,4.67,6.07,13100,13750,521041,23241,38,202201260940,497800,0,0,0,500000,0,202203290900,13750,4.67,0,0,0,0,0,12350,13800,0,0,13750,13800,13650,4036,13820,13750,13467,13397,14135,14512,14998,15457,-9.66,-15.79,-19.47,-20.46,-22.75,-24.76,-27.35,-29.85
0,0,0,031430,신세계인터내셔날,19.42,2.97,24300,29100,580385,94385,20,202201261102,486000,0,0,0,500000,0,202202100900,29100,19.42,0,0,0,0,0,23600,28700,10.38,0,29200,28900,26700,784480,25860,24790,25445,27327,28170,29545,31200,32524,-5.14,-7.96,-12.62,-16.25,-19.18,-22.88,-27.16,-29.39
0,0,0,234080,JW생명과학,11.7,0.39,12900,14450,547571,57371,38,202201261102,490200,0,0,0,500000,0,202202210900,14450,11.7,0,0,0,0,0,12850,14550,3.93,0,14550,14650,13800,58425,13950,13695,13370,13685,14031,14320,14582,15043,-2.73,-4.6,-6.39,-9.58,-10.66,-12.53,-15.39,-17.69
0,0,0,079980,휴비스,-1.51,1.96,7280,7190,487550,-7490,68,202201261106,495040,0,0,0,500000,0,202203290900,7190,-1.51,0,0,0,0,0,7140,7180,0,0,7180,7200,7110,31782,7160,7133,7106,7117,7493,7729,8015,8325,-6.37,-9.31,-12.52,-14.18,-16.69,-19.72,-22.16,-24.43
0,0,0,108230,톱텍,5.91,3.21,8050,8550,528620,29520,62,202201280915,499100,0,0,0,500000,0,202203180900,8550,5.91,0,0,0,0,0,7800,8650,1.53,0,8520,8840,8550,122122,8316,8196,8234,8331,8564,8480,8498,8637,-5.68,-8.55,-12.6,-10.98,-8.69,-9.68,-12.53,-15.11
0,0,0,093050,LF,12.47,2.69,15250,17200,548868,60868,32,202201281010,488000,0,0,0,500000,0,202202140900,17200,12.47,0,0,0,0,0,14850,17300,1.47,0,17050,17800,17300,172488,16910,16270,16312,16721,17136,17591,17686,17783,-4.44,-7.33,-10.1,-12.27,-15.06,-16.22,-16.8,-16.89
0,0,0,294870,HDC현대산업개발,6.35,5.15,14300,15250,517053,30853,34,202201281020,486200,0,0,0,500000,0,202203300900,15250,6.35,0,0,0,0,0,13600,15250,-5.86,0,15200,16100,14900,2659216,16540,16685,16922,16135,17655,19029,19985,21008,-4.56,-12.99,-31.13,-36.95,-38.63,-41.2,-43.72,-45.63
0,0,0,073490,이노와이어리스,14.26,4.01,36350,41650,539944,67394,13,202201281054,472550,0,0,0,500000,0,202203300900,41650,14.26,0,0,0,0,0,34950,41150,4.57,0,41800,41450,39350,161103,39430,39140,39157,38705,39643,40678,40593,40183,-6.25,-10.05,-14.46,-17.37,-16.32,-14.4,-15.58,-16.61
0,0,0,007160,사조산업,9.05,4.27,42750,46750,512817,42567,11,202201281106,470250,0,0,0,500000,0,202202140900,46750,9.05,0,0,0,0,0,41000,47450,1.28,0,46800,48300,46200,16142,46790,44910,44945,46256,45863,46223,47214,49340,-2.96,-6.42,-10.65,-11.6,-10.61,-12,-15.24,-19.27
0,0,0,161390,한국타이어앤테크놀로지,2.11,1.99,33350,34150,476763,9863,14,202201281121,466900,0,0,0,500000,0,202203300900,34150,2.11,0,0,0,0,0,32700,33800,-1.02,0,33900,34300,33500,321257,34130,34175,33962,34461,35857,36988,37898,38769,-5.6,-8.7,-13.75,-16.7,-17.98,-19.7,-21.24,-23.01
0,0,0,000240,한국앤컴퍼니,12.19,3.64,12800,14400,560037,60837,39,202201281142,499200,0,0,0,500000,0,202203300900,14400,12.19,0,0,0,0,0,12350,14350,1.41,0,14400,14400,14050,84181,14080,13845,13532,13442,13903,14403,14861,15205,-6.23,-9.95,-14.75,-18.92,-21.12,-22.88,-23.35,-24.56
0,0,0,192400,쿠쿠홀딩스,0.87,3.57,17400,17600,491421,4221,28,202201281145,487200,0,0,0,500000,0,202202240900,17600,0.87,0,0,0,0,0,16800,17750,2.01,0,17650,17750,17300,32526,17650,17705,17707,18247,18437,18850,19562,20261,-5.62,-7.57,-8.87,-10.33,-11.06,-15.24,-17.93,-21.48
0,0,0,000120,CJ대한통운,7.85,3.1,116500,126000,502595,36595,4,202201281201,466000,0,0,0,500000,0,202202110900,126000,7.85,0,0,0,0,0,113000,127500,2,0,127000,128000,124000,48321,123300,119900,121950,125525,128033,132400,137455,142691,-4.64,-6.3,-8.76,-11.27,-13.29,-16.13,-19.79,-22.43
0,0,0,008490,서흥,5.95,3.29,39250,41700,499003,28003,12,202201281209,471000,0,0,0,500000,0,202203210900,41700,5.95,0,0,0,0,0,38000,41150,4.57,0,41600,41500,39150,44417,39250,39315,39265,39695,40835,41058,42100,43471,-3.94,-6.75,-9.19,-10.04,-10.84,-13.6,-17.24,-19.5
0,0,0,081660,휠라홀딩스,20.55,3.73,29200,35300,598435,102035,17,202201281212,496400,0,0,0,500000,0,202203040900,35300,20.55,0,0,0,0,0,28150,35500,0.42,0,35250,36100,34850,556959,34530,33170,32527,32411,33556,34395,35195,36781,-6.51,-9.11,-13.73,-17.78,-19.96,-21.78,-25.52,-29.08
0,0,0,200710,에이디테크놀로지,-7.21,2.81,20150,18750,448735,-34865,24,202201281231,483600,0,0,0,500000,0,202203300900,18750,-7.21,0,0,0,0,0,19600,18600,1.92,0,18900,18650,18300,53452,18430,18415,18330,18720,20100,20355,20593,20456,-5.18,-9.89,-12.86,-10.9,-10.06,-8.26,-7.9,-9.12
0,0,0,002320,한진,6.64,1.86,27400,29300,525928,32728,18,202201281232,493200,0,0,0,500000,0,202203070900,29300,6.64,0,0,0,0,0,26900,29600,0,0,29550,29600,29100,20652,28980,28840,28915,29526,29717,30049,30969,32105,-2.78,-6.97,-11.38,-11.04,-12.13,-14.99,-18.4,-21.15
0,0,0,003060,에이프로젠바이오로직스,10.76,2.09,732,813,553733,53777,683,202201281235,499956,0,0,0,500000,0,202203300900,813,10.76,0,0,0,0,0,717,810,1.38,0,816,816,795,580726,799,802,789,775,805,821,850,878,-6.57,-11.67,-15.73,-16.73,-19.47,-22.25,-25.04,-27.51
0,0,0,046440,KG모빌리언스,8.97,3.68,8730,9540,542264,44654,57,202201281235,497610,0,0,0,500000,0,202203300900,9540,8.97,0,0,0,0,0,8420,9520,-0.31,0,9570,9670,9410,604859,9294,9176,8939,8891,9448,9866,9740,9660,-7.17,-10.1,-17.39,-22.39,-18.06,-16.07,-16.21,-16.46
0,0,0,138490,코오롱플라스틱,10.14,4.69,10050,11100,542385,49935,49,202201281235,492450,0,0,0,500000,0,202203040900,11100,10.14,0,0,0,0,0,9600,11150,2.29,0,11100,11400,11000,742611,10404,10327,10342,10801,11497,12070,13093,13426,-5.19,-9.33,-15.84,-20.94,-24.55,-30.77,-31.63,-25.73
0,0,0,013120,동원개발,4.18,3.33,4805,5020,520622,20902,104,202201281239,499720,0,0,0,500000,0,202203040900,5020,4.18,0,0,0,0,0,4650,5040,2.96,0,5020,5080,4905,147822,4877,4845,4831,5052,5079,5091,5160,5272,-4.83,-8.32,-12.31,-10.71,-10.34,-11.42,-13.48,-15.22
0,0,0,171090,선익시스템,25.95,3.9,17300,21850,610106,125706,28,202201281241,484400,0,0,0,500000,0,202203180900,21850,25.95,0,0,0,0,0,16650,20700,29.78,0,21900,20700,16400,2595938,16900,16845,16920,17667,18918,20468,21156,21260,-8.26,-13.55,-18.12,-22.24,-26.79,-26.2,-26.75,-28.23
0,0,0,122450,KX,15.44,3.79,6850,7930,569373,76173,72,202201281246,493200,0,0,0,500000,0,202202140900,7930,15.44,0,0,0,0,0,6600,8020,2.69,0,8010,8240,7650,327744,7572,7276,7479,7699,7923,8136,8404,8722,-7.72,-11.43,-14.84,-15.57,-18.08,-20.61,-23.53,-26.62
0,0,0,023410,유진기업,5.08,2.34,4375,4610,524073,25323,114,202201281305,498750,0,0,0,500000,0,202202280900,4610,5.08,0,0,0,0,0,4275,4610,2.79,0,4610,4620,4525,266230,4577,4510,4492,4677,4710,4781,4793,4850,-3.41,-6.51,-10.97,-11.24,-12.01,-11.98,-12.83,-13.63
0,0,0,089030,테크윙,11.59,2.99,9569,10708,555266,57678,52,202201281309,497588,0,0,0,500000,0,202203300900,10708,11.59,0,0,0,0,0,9291,10708,8.18,0,10708,10734,9873,1235809,10019,9855,9737,9655,9935,10157,10221,10188,-2.49,-5.8,-9.89,-12.59,-12.05,-10.97,-13.03,-16.28
0,0,0,004360,세방,8.49,2.86,10800,11750,538993,42193,46,202201281310,496800,0,0,0,500000,0,202203240900,11750,8.49,0,0,0,0,0,10500,11850,0.85,0,11750,11900,11700,47962,11670,11560,11407,11333,11512,11540,11661,11814,-4.81,-8.5,-10.24,-10.48,-10.63,-12,-14.17,-15.32
0,0,0,006650,대한유화,9,2.03,150500,164500,492125,40625,3,202201281311,451500,0,0,0,500000,0,202203300900,164500,9,0,0,0,0,0,147500,163000,1.88,0,165000,163500,161000,23822,162000,161350,159900,161487,168258,175375,176360,180729,-7.17,-12.38,-17.04,-21.44,-20.3,-21.87,-25.18,-27.38
0,0,0,027410,BGF,13.81,5.34,4635,5290,564456,68511,107,202201281323,495945,0,0,0,500000,0,202203300900,5290,13.81,0,0,0,0,0,4400,5280,0,0,5290,5330,5250,130602,5280,5262,5207,5073,5092,5117,5261,5324,-6.82,-9.9,-12.88,-14.42,-17.69,-18.85,-21,-22.6
0,0,0,005720,넥센,5.89,4.3,4120,4375,527897,29377,121,202201281343,498520,0,0,0,500000,0,202203300900,4375,5.89,0,0,0,0,0,3950,4370,0.11,0,4375,4385,4355,15527,4350,4324,4279,4229,4343,4407,4505,4587,-7.41,-10.6,-12.56,-13.43,-15.17,-16.75,-17.63,-18.06
0,0,0,006060,화승인더,10.55,5.24,4925,5460,549924,52499,101,202201281414,497425,0,0,0,500000,0,202203300900,5460,10.55,0,0,0,0,0,4680,5440,1.3,0,5460,5460,5380,154238,5392,5334,5289,5291,5478,5596,5766,5942,-8.13,-13.19,-18.14,-20.17,-22.26,-24.78,-26.64,-27.78
0,0,0,001200,유진투자증권,13.3,2.59,2975,3380,566260,66460,168,202201281512,499800,0,0,0,500000,0,202203300900,3380,13.3,0,0,0,0,0,2900,3360,0.6,0,3390,3385,3340,157283,3335,3330,3301,3219,3295,3394,3467,3523,-5.51,-9.85,-14.12,-18.2,-19.53,-20.71,-21.9,-22.79
0,0,0,121800,비덴트,25.25,1.03,14650,18400,623867,125767,34,202202040905,498100,0,0,0,500000,0,202203180900,18400,25.25,0,0,0,0,0,14500,18200,5.2,0,18400,18550,17450,6063527,17260,17000,16480,16431,18649,21175,20106,18374,-4.79,-10.69,-17.84,-34.52,-36.8,-28.91,-20.76,-14.32
0,0,0,297090,씨에스베어링,12.47,2.71,6173,6962,555410,61570,80,202202040908,493840,0,0,0,500000,0,202202280900,6962,12.47,0,0,0,0,0,6010,6892,24.27,0,6915,7194,5801,4462999,5954,5836,5975,6858,7320,7589,8057,8562,0,-8.77,-17.23,-22.87,-24.16,-28.26,-32.15,-35.11
0,0,0,042420,네오위즈홀딩스,-20.38,4.73,59800,47750,380916,-97484,8,202202071011,478400,0,0,0,500000,0,202202141004,47750,-20.38,0,0,0,0,0,57100,50700,-0.78,0,49000,54500,49300,606259,56380,61290,68665,71380,69906,64228,56923,52160,-13.75,-21.17,-22.01,-21.24,-18.14,-8.89,2.97,11.58
0,0,0,042420,네오위즈홀딩스,3.25,8.18,50900,52700,472974,14874,9,202202160947,458100,0,0,0,500000,0,202203140900,52700,3.25,0,0,0,0,0,47050,55700,6.7,0,54300,57500,51500,588623,52580,53285,51575,61050,65263,65363,61346,55619,-8.5,-15.18,-28.44,-33.56,-32.54,-27.11,-17.96,-10.22
0,0,0,002320,한진,2.28,1.56,29250,30000,508574,11324,17,202203110909,497250,0,0,0,500000,0,202203180900,30000,2.28,0,0,0,0,0,28800,30050,1.69,0,30100,30300,29650,38993,29510,29265,28955,28917,29630,29750,30502,31439,-0.76,0.23,-0.17,-1.5,-2.93,-3.71,-6.45,-9.53
0,0,0,012510,더존비즈온,-10.95,2.69,42050,37550,411886,-50664,11,202203151310,462550,0,0,0,500000,0,202205170900,37550,-10.95,0,0,0,0,0,40950,37700,2.17,0,37900,38200,37200,118180,38090,39355,40542,42847,44080,46910,51799,55985,-4.34,-9.48,-15.13,-23.04,-31.69,-36.36,-40.49,-44.47
0,0,0,051910,LG화학,16.45,3.85,459000,536000,534511,75511,1,202203170901,459000,0,0,0,500000,0,202204060900,536000,16.45,0,0,0,0,0,442000,540000,2.66,0,536000,546000,534000,225685,529200,525700,500350,548875,595700,614625,640510,670141,-4.18,-11.09,-19.48,-27.11,-29.44,-32.35,-35.26,-36.65
0,0,0,251970,펌텍코리아,10.77,1.44,17600,19550,545875,53075,28,202203180908,492800,0,0,0,500000,0,202203290900,19550,10.77,0,0,0,0,0,17350,18500,0.54,0,19650,19650,18250,365078,18020,17695,17580,17287,17003,17170,17674,18488,-0.34,-0.29,-1.52,2.34,2.33,0.58,-3.51,-8.37
0,0,0,042420,네오위즈홀딩스,-0.58,4.09,33100,33000,493614,-2886,15,202205130909,496500,0,0,0,500000,0,202205240900,33000,-0.58,0,0,0,0,0,31800,33650,4.5,0,33650,35600,31550,188324,31890,32460,35290,41216,45020,48330,54508,56684,-8.17,-12.73,-18.27,-29.15,-32.49,-39.01,-43.91,-45.61
0,0,0,039490,키움증권,-12.88,2.76,85500,74700,372446,-55054,5,202205130941,427500,0,0,0,500000,0,202207130900,74700,-12.88,0,0,0,0,0,83200,74400,-4.37,0,74400,78100,73700,88065,78620,80050,83425,87357,89255,91620,93110,93425,-4.89,-8.21,-11.29,-13.5,-14.33,-13.93,-15.66,-16.62
0,0,0,003470,유안타증권,-20.14,2.3,3340,2675,397444,-100216,149,202205131423,497660,0,0,0,500000,0,202206221446,2675,-20.14,0,0,0,0,0,3265,2850,3.45,0,2885,2850,2755,149373,2803,2940,3078,3267,3414,3456,3487,3565,-3.46,-6.02,-8.91,-10.03,-9.65,-10.14,-11.97,-13.65
0,0,0,000240,한국앤컴퍼니,-20.23,0.71,14250,11400,397868,-100882,35,202205180923,498750,0,0,0,500000,0,202207151022,11400,-20.23,0,0,0,0,0,14150,11850,-1.25,0,11900,12000,11800,44903,11910,12120,12470,13230,13533,13698,13622,13599,2.09,1.29,0.07,-0.11,1.91,2.65,0.24,-1.82
0,0,0,002100,경농,-3.26,1.9,13400,13000,479651,-16149,37,202205201046,495800,0,0,0,500000,0,202205260900,13000,-3.26,0,0,0,0,0,13150,12950,1.17,0,12950,13200,12700,35823,13000,13155,13552,13733,13519,13170,12955,12714,-1.94,-1.5,-4.93,-4.72,-2.5,0.31,1.84,3.86
0,0,0,007340,DN오토모티브,11.37,-0.88,56500,63100,503394,51394,8,202206170950,452000,0,0,0,500000,0,202208170900,63100,11.37,0,0,0,0,0,57000,60600,0.5,0,63800,61400,60000,24336,58040,57180,55850,54572,58473,63003,65668,66325,-3.42,-10.08,-16.19,-21.52,-22.49,-21.3,-21.77,-21.03
0,0,0,084010,대한제강,-9.16,-1.75,16850,15350,443897,-44753,29,202206171040,488650,0,0,0,500000,0,202207050900,15350,-9.16,0,0,0,0,0,17150,15300,-3.16,0,15350,15950,15300,40044,15770,15445,16767,18457,19519,20006,20350,19825,-4.03,-9.11,-11.39,-15.72,-16.75,-19.09,-16.47,-13.65
