index,id,order_num,code,code_name,rate,purchase_rate,purchase_price,present_price,valuation_price,valuation_profit,holding_amount,buy_date,item_total_purchase,chegyul_check,reinvest_count,reinvest_date,invest_unit,reinvest_unit,sell_date,sell_price,sell_rate,rate_std,rate_std_mod_val,rate_std_htr,rate_htr,rate_std_mod_val_htr,yes_close,close,d1_diff_rate,d1_diff,open,high,low,volume,clo5,clo10,clo20,clo40,clo60,clo80,clo100,clo120,clo5_diff_rate,clo10_diff_rate,clo20_diff_rate,clo40_diff_rate,clo60_diff_rate,clo80_diff_rate,clo100_diff_rate,clo120_diff_rate
0,0.0,0,009160,SIMPAC,16.34,1.54,6600,7700,11633087,1634087,1515,202201040927,9999000,0,0,0,10000000,0,202203080900,7700,16.34,0,0,0,0,0,6500,7780,0.91,0,7710,8010,7680,632156,7654,7311,6868,6468,6526,6594,6887,7142,0.34,0.45,-2.21,-3.52,-9.78,-13.36,-11.3,-9.5
0,0.0,0,095720,웅진씽크빅,-12.11,1.56,3245,2860,8786809,-1211036,3081,202201050947,9997845,0,0,0,10000000,0,202203080900,2860,-12.11,0,0,0,0,0,3195,2895,-1.19,0,2845,2920,2865,202029,2901,2883,2922,3003,3061,3139,3190,3230,0.0,0.16,0.53,-2.47,-3.63,-4.45,-6.25,-9.08
0,0.0,0,002020,코오롱,-14.29,1.53,33100,28450,8567632,-1428568,302,202201050954,9996200,0,0,0,10000000,0,202203080900,28450,-14.29,0,0,0,0,0,32600,28900,-1.87,0,28550,29550,28750,19190,29360,29055,29325,30461,30891,31096,31998,33241,0.77,2.34,2.67,2.73,-1.28,-5.87,-3.92,-2.59
0,0.0,0,014830,유니드,-20.14,3.79,126560,101364,7985036,-2013204,79,202201070938,9998240,0,0,0,10000000,0,202201251017,101364,-20.14,0,0,0,0,0,121937,105756,-4.29,0,106334,110263,104369,56117,110610,114655,117804,118215,121719,128159,134924,135538,0.86,3.04,3.07,0.93,-4.36,-9.66,-11.65,-9.66
0,0.0,0,064800,젬백스링크,-0.86,2.69,1720,1710,9912389,-85971,5813,202201071054,9998360,0,0,0,10000000,0,202203100900,1710,-0.86,0,0,0,0,0,1675,1700,-0.58,0,1700,1725,1660,1170627,1698,1588,1550,1567,1605,1631,1619,1614,-2.33,-1.03,-0.21,-1.53,1.08,2.31,1.48,-0.15
0,0.0,0,078600,대주전자재료,-18.75,4.91,98300,80100,8067172,-1861128,101,202201120910,9928300,0,0,0,10000000,0,202203150900,80100,-18.75,0,0,0,0,0,93700,81500,-8.63,0,80700,88700,81100,357726,86680,88200,88095,91727,94676,99676,101162,100025,-2.56,-6.47,-6.19,-12.53,-12.66,-10.18,-2.58,4.29
0,0.0,0,151860,KG ETS,-20.16,3.19,14550,11650,7980841,-2015009,687,202201121502,9995850,0,0,0,10000000,0,202201251327,11650,-20.16,0,0,0,0,0,14100,12400,-4.98,0,12300,13000,12300,324140,13060,13600,14162,14635,14801,14880,15305,15982,-2.96,-3.82,-5.4,-7.04,-6.04,-7.26,-10.4,-14.51
0,0.0,0,084110,휴온스글로벌,-20.34,2.62,35300,28200,7957953,-2031947,283,202201121530,9989900,0,0,0,10000000,0,202203080901,28200,-20.34,0,0,0,0,0,34400,29150,-3.32,0,28650,29900,29150,34463,30150,30205,31057,32142,34312,35518,37778,41273,-4.23,-8.49,-10.28,-10.33,-15.1,-22.04,-28.81,-32.75
0,0.0,0,075580,세진중공업,-3.96,5.07,7050,6790,9601206,-395694,1418,202201130902,9996900,0,0,0,10000000,0,202203150900,6790,-3.96,0,0,0,0,0,6710,6790,-0.88,0,6700,6870,6630,225520,6876,7024,6731,6860,6549,6384,6390,6321,3.1,6.98,11.81,13.32,10.2,10.68,10.23,8.42
0,0.0,0,082640,동양생명,-7.71,0.75,6710,6210,9226880,-771020,1490,202201140901,9997900,0,0,0,10000000,0,202203160900,6210,-7.71,0,0,0,0,0,6660,6140,-0.49,0,6160,6230,6110,68763,6152,6170,6166,6171,6411,6549,6646,6732,-0.86,-0.45,-2.34,-3.61,-3.95,-4.96,-1.53,1.69
0,0.0,0,000390,삼화페인트,9.1,0.11,9140,10000,10909509,910349,1094,202201180900,9999160,0,0,0,10000000,0,202203220900,10000,9.1,0,0,0,0,0,9130,9990,1.63,0,10100,10100,9850,88569,9768,9495,9107,8816,8954,8969,9164,9249,-1.51,-2.92,-1.09,0.08,-2.84,-3.55,-5.91,-7.83
0,0.0,0,121800,비덴트,-20.17,3.98,18300,14650,7976204,-2015596,546,202201180920,9991800,0,0,0,10000000,0,202201271245,14650,-20.17,0,0,0,0,0,17600,16450,3.46,0,16550,17100,16050,3182385,16740,17215,19167,23626,23060,20204,18157,16809,-2.92,-7.66,-21.0,-31.37,-22.48,-9.91,-0.37,7.05
0,0.0,0,230360,에코마케팅,7.71,2.63,15600,16850,10770728,771128,641,202201180946,9999600,0,0,0,10000000,0,202203220900,16850,7.71,0,0,0,0,0,15200,16900,1.2,0,16800,17100,16500,157997,16450,16230,16910,15913,16086,16400,16715,17172,-1.94,-3.61,-7.5,-9.99,-11.88,-14.61,-18.43,-22.81
0,0.0,0,357550,석경에이티,-20.46,-0.88,16800,13400,7950372,-2045628,595,202201190922,9996000,0,0,0,10000000,0,202202140935,13400,-20.46,0,0,0,0,0,16950,13950,-5.1,0,13800,14750,13950,23632,14600,14565,15700,16950,17617,18359,19031,19238,-1.17,-2.98,-4.57,-7.17,-10.01,-13.26,-14.47,-16.16
0,0.0,0,122990,와이솔,3.57,2.48,10350,10750,10355481,357381,966,202201190935,9998100,0,0,0,10000000,0,202203220900,10750,3.57,0,0,0,0,0,10100,10700,0.0,0,10650,10800,10600,80984,10590,10525,10515,10533,10560,10515,10471,10501,-1.66,-2.88,-4.72,-3.72,-3.1,-3.53,-6.13,-8.67
0,0.0,0,033500,동성화인텍,-0.28,0.93,10850,10850,9964870,-27980,921,202201191019,9992850,0,0,0,10000000,0,202203220900,10850,-0.28,0,0,0,0,0,10750,10900,0.0,0,10900,11000,10800,71623,10780,10915,10857,10548,10930,10960,11169,11245,-5.62,-8.55,-7.82,-5.44,-6.95,-7.23,-6.54,-6.93
0,0.0,0,003030,세아제강지주,25.76,2.73,101500,128000,12509266,2562266,98,202201191029,9947000,0,0,0,10000000,0,202203220900,128000,25.76,0,0,0,0,0,98800,127000,6.28,0,127500,129500,119500,38033,120100,123850,120925,112115,109593,109468,111415,114933,-5.05,-6.95,-5.24,-7.23,-10.52,-14.77,-17.04,-12.7
0,0.0,0,018310,삼목에스폼,100.54,3.75,13850,27850,20052915,10053215,722,202201200921,9999700,0,0,0,10000000,0,202203170916,27850,100.54,0,0,0,0,0,13350,25600,6.44,0,25600,25900,23550,276017,24590,23040,19765,16986,15903,15419,15473,15486,-4.3,-6.81,-4.11,-2.8,-7.24,-8.51,-10.49,-10.14
0,0.0,0,058820,CMG제약,-0.57,2.72,3395,3385,9940908,-57367,2945,202201200921,9998275,0,0,0,10000000,0,202203220900,3385,-0.57,0,0,0,0,0,3305,3400,0.74,0,3395,3425,3370,534012,3378,3320,3278,3279,3426,3470,3541,3617,-4.15,-6.66,-10.14,-9.46,-10.48,-12.2,-14.99,-17.96
0,0.0,0,064260,다날,-20.06,6.36,11700,9380,7987793,-2004007,854,202201201312,9991800,0,0,0,10000000,0,202202241329,9380,-20.06,0,0,0,0,0,11000,9980,1.73,0,9810,10100,9920,2043010,10078,10164,10363,11707,13037,12410,11213,10384,-1.52,-6.9,-17.46,-24.31,-15.17,-2.52,6.99,13.35
0,0.0,0,033160,엠케이전자,-5.13,1.86,16450,15650,9472878,-512272,607,202201201320,9985150,0,0,0,10000000,0,202203220900,15650,-5.13,0,0,0,0,0,16150,15800,0.32,0,15800,16000,15650,201108,15020,14820,15020,15463,16289,17012,17517,18072,-4.55,-6.92,-9.18,-11.98,-13.96,-15.94,-20.47,-20.72
0,0.0,0,138490,코오롱플라스틱,1.07,2.79,11050,11200,10096471,107271,904,202201201515,9989200,0,0,0,10000000,0,202203220900,11200,1.07,0,0,0,0,0,10750,11250,-0.88,0,11200,11450,11150,244151,11090,11020,10721,10543,11174,11606,12325,13308,-4.1,-6.68,-12.44,-14.24,-19.22,-26.11,-22.43,-15.91
0,0.0,0,033100,제룡전기,-8.99,17.21,5380,4910,9097105,-898935,1858,202201250921,9996040,0,0,0,10000000,0,202203290900,4910,-8.99,0,0,0,0,0,4590,4905,1.34,0,4910,4930,4795,118656,4864,4826,4738,4701,4832,4875,5051,5297,-4.71,-7.49,-9.92,-9.08,-13.14,-17.96,-20.07,-21.67
0,0.0,0,093520,매커스,62.02,4.29,7540,12250,16198955,6200915,1326,202201260924,9998040,0,0,0,10000000,0,202203290900,12250,62.02,0,0,0,0,0,7230,12150,-2.02,0,12250,12750,12000,719039,11268,9848,9014,8538,8439,8263,8251,7965,-6.71,-10.02,-11.91,-9.4,-10.26,-5.91,-3.45,-0.94
0,0.0,0,102460,이연제약,0.24,3.04,28800,28950,10017530,23930,347,202201260942,9993600,0,0,0,10000000,0,202203290900,28950,0.24,0,0,0,0,0,27950,29000,-2.52,0,29050,30250,29000,54983,29270,28740,28280,28316,29830,32191,34675,36989,-6.15,-8.78,-14.01,-21.69,-27.43,-31.86,-36.49,-39.79
0,0.0,0,026890,스틱인베스트먼트,-5.43,3.4,10650,10100,9447196,-542504,938,202201261249,9989700,0,0,0,10000000,0,202203290900,10100,-5.43,0,0,0,0,0,10300,10050,-1.47,0,10100,10200,9910,481650,10110,9942,10015,10166,11073,12040,12767,13185,-7.29,-10.71,-18.85,-25.17,-28.61,-29.66,-29.49,-28.73
0,0.0,0,094480,갤럭시아머니트리,8.56,7.86,10150,11050,10853907,856157,985,202201270912,9997750,0,0,0,10000000,0,202203290900,11050,8.56,0,0,0,0,0,9410,11050,3.76,0,11150,11100,10650,1111526,10560,10284,9942,9753,10385,11105,11865,11040,-4.72,-7.73,-16.53,-22.87,-28.84,-20.09,-11.5,-5.11
0,0.0,0,251970,펌텍코리아,24.97,2.97,15600,19550,12496841,2497241,641,202201270927,9999600,0,0,0,10000000,0,202203290900,19550,24.97,0,0,0,0,0,15150,18500,0.54,0,19650,19650,18250,365078,18020,17695,17580,17287,17003,17170,17674,18488,-3.07,-4.05,-6.31,-10.71,-14.46,-19.72,-25.61,-29.32
0,0.0,0,002240,고려제강,16.43,2.3,18400,21482,11632316,1641116,543,202201270932,9991200,0,0,0,10000000,0,202203290900,21482,16.43,0,0,0,0,0,17986,21528,-0.43,0,21528,21574,21022,32680,21666,21233,20732,19803,19517,19245,19678,20709,-2.01,-4.14,-5.13,-3.95,-7.14,-14.06,-18.77,-19.2
0,0.0,0,053030,바이넥스,24.07,5.31,12900,16050,12404288,2406788,775,202201280905,9997500,0,0,0,10000000,0,202203300900,16050,24.07,0,0,0,0,0,12250,16250,5.18,0,16200,16300,15400,348750,15860,15715,15287,14220,14265,14635,14733,15009,-7.2,-8.48,-12.94,-17.78,-18.11,-20.04,-22.43,-25.14
0,0.0,0,151860,KG ETS,-0.28,10.27,12350,12350,9963175,-27975,809,202201280908,9991150,0,0,0,10000000,0,202203300900,12350,-0.28,0,0,0,0,0,11200,12300,0.41,0,12350,12350,12200,127755,12450,12390,12562,12163,12778,13365,13722,13936,-7.05,-12.47,-18.16,-22.42,-23.65,-23.9,-25.92,-28.95
