date,open,high,low,close,adj_close,volume,ci,ci14,ci20,ci14_diff,ci20_diff
2023-09-05,2578.909912109375,2586.64990234375,2575.18994140625,2582.179931640625,2582.179931640625,383400,71.0,-68.0,-85.0,19.216417910447763,15.12605042016807
2023-09-06,2577.409912109375,2585.97998046875,2560.090087890625,2563.340087890625,2563.340087890625,421500,47.0,-45.0,-76.0,25.373134328358212,16.596638655462186
2023-09-07,2554.8701171875,2562.419921875,2539.239990234375,2548.260009765625,2548.260009765625,376600,6.0,-29.0,-73.0,30.410447761194032,16.596638655462186
2023-09-08,2546.070068359375,2550.9599609375,2530.050048828125,2547.679931640625,2547.679931640625,395800,-6.0,-18.0,-70.0,35.820895522388064,17.647058823529413
2023-09-11,2549.8798828125,2556.889892578125,2540.43994140625,2556.8798828125,2556.8798828125,410300,27.0,-7.0,-66.0,41.6044776119403,20.378151260504204
2023-09-12,2566.419921875,2568.550048828125,2535.14990234375,2536.580078125,2536.580078125,358700,18.0,3.0,-58.0,47.01492537313433,26.050420168067227
2023-09-13,2536.219970703125,2549.3798828125,2528.179931640625,2534.699951171875,2534.699951171875,417000,-13.0,7.0,-44.0,50.93283582089553,33.19327731092437
2023-09-14,2544.889892578125,2572.889892578125,2541.110107421875,2572.889892578125,2572.889892578125,411800,64.0,17.0,-26.0,55.59701492537314,40.96638655462185
2023-09-15,2574.97998046875,2611.0,2572.3701171875,2601.280029296875,2601.280029296875,441100,164.0,33.0,-7.0,61.007462686567166,47.689075630252105
2023-09-18,2588.68994140625,2596.550048828125,2573.260009765625,2574.719970703125,2574.719970703125,415900,107.0,42.0,6.0,64.73880597014926,52.94117647058824
2023-09-19,2579.360107421875,2583.25,2555.4599609375,2559.2099609375,2559.2099609375,461800,44.0,44.0,14.0,67.53731343283582,56.09243697478992
2023-09-20,2556.550048828125,2566.6201171875,2551.1201171875,2559.739990234375,2559.739990234375,414700,10.0,44.0,21.0,70.33582089552239,59.2436974789916
2023-09-21,2544.81005859375,2549.6298828125,2514.9599609375,2514.969970703125,2514.969970703125,394700,-132.0,33.0,18.0,70.8955223880597,59.87394957983194
2023-09-22,2491.449951171875,2513.260009765625,2486.139892578125,2508.1298828125,2508.1298828125,433200,-223.0,13.0,11.0,69.02985074626866,59.45378151260505
2023-09-25,2504.10009765625,2509.3798828125,2486.43994140625,2495.760009765625,2495.760009765625,438600,-210.0,-7.0,3.0,66.7910447761194,59.2436974789916
2023-09-26,2493.639892578125,2495.0,2461.590087890625,2462.969970703125,2462.969970703125,427500,-228.0,-27.0,-8.0,65.11194029850746,58.82352941176471
2023-09-27,2447.989990234375,2469.719970703125,2445.510009765625,2465.070068359375,2465.070068359375,366200,-206.0,-42.0,-19.0,63.246268656716424,58.82352941176471
2023-10-04,2435.780029296875,2435.780029296875,2402.840087890625,2405.68994140625,2405.68994140625,424900,-233.0,-58.0,-31.0,59.701492537313435,57.983193277310924
2023-10-05,2423.35009765625,2426.610107421875,2402.5,2403.60009765625,2403.60009765625,451700,-187.0,-73.0,-41.0,54.85074626865672,57.35294117647059
2023-10-06,2408.81005859375,2421.179931640625,2403.919921875,2408.72998046875,2408.72998046875,289400,-152.0,-85.0,-52.0,49.626865671641795,55.67226890756302
2023-10-10,2436.580078125,2448.239990234375,2402.43994140625,2402.580078125,2402.580078125,415500,-122.0,-93.0,-61.0,43.09701492537314,52.10084033613445
2023-10-11,2436.52001953125,2463.56005859375,2436.52001953125,2450.080078125,2450.080078125,446900,-72.0,-103.0,-67.0,36.007462686567166,49.36974789915966
2023-10-12,2465.18994140625,2479.820068359375,2464.840087890625,2479.820068359375,2479.820068359375,515500,-37.0,-117.0,-69.0,29.1044776119403,46.63865546218487
2023-10-13,2460.85009765625,2466.6201171875,2452.830078125,2456.14990234375,2456.14990234375,582400,-52.0,-129.0,-72.0,22.94776119402985,42.64705882352941
2023-10-16,2442.429931640625,2453.77001953125,2422.52001953125,2436.239990234375,2436.239990234375,788400,-71.0,-137.0,-77.0,18.28358208955224,37.81512605042017
2023-10-17,2454.139892578125,2466.8701171875,2449.419921875,2460.169921875,2460.169921875,508800,-40.0,-140.0,-79.0,15.111940298507463,34.03361344537815
2023-10-18,2452.050048828125,2465.330078125,2450.780029296875,2462.60009765625,2462.60009765625,911500,-35.0,-133.0,-81.0,14.365671641791046,30.672268907563026
2023-10-19,2431.919921875,2433.449951171875,2412.550048828125,2415.800048828125,2415.800048828125,756900,-81.0,-123.0,-88.0,13.992537313432834,26.47058823529412
2023-10-20,2391.5400390625,2394.669921875,2364.010009765625,2375.0,2375.0,520600,-137.0,-118.0,-103.0,12.313432835820898,20.798319327731093
2023-10-23,2370.070068359375,2375.7900390625,2354.699951171875,2357.02001953125,2357.02001953125,395900,-154.0,-113.0,-116.0,10.26119402985075,16.176470588235297
2023-10-24,2371.550048828125,2384.139892578125,2326.669921875,2383.510009765625,2383.510009765625,444200,-135.0,-108.0,-125.0,9.14179104477612,12.815126050420169
2023-10-25,2389.22998046875,2389.89990234375,2362.68994140625,2363.169921875,2363.169921875,440800,-113.0,-99.0,-131.0,9.514925373134332,10.084033613445378
2023-10-26,2325.820068359375,2330.550048828125,2299.080078125,2299.080078125,2299.080078125,531100,-193.0,-100.0,-134.0,8.2089552238806,7.983193277310924
2023-10-27,2311.590087890625,2321.840087890625,2293.050048828125,2302.81005859375,2302.81005859375,514900,-175.0,-101.0,-132.0,8.022388059701491,7.563025210084035
2023-10-30,2292.340087890625,2317.75,2292.340087890625,2310.550048828125,2310.550048828125,444800,-148.0,-103.0,-129.0,10.26119402985075,7.352941176470587
2023-10-31,2318.389892578125,2322.449951171875,2273.969970703125,2277.989990234375,2277.989990234375,395000,-144.0,-108.0,-124.0,12.126865671641795,7.563025210084035
2023-11-01,2292.889892578125,2312.14990234375,2288.639892578125,2301.56005859375,2301.56005859375,358200,-115.0,-114.0,-120.0,12.873134328358212,6.7226890756302495
2023-11-02,2334.9599609375,2351.909912109375,2333.409912109375,2343.1201171875,2343.1201171875,377500,-55.0,-114.0,-111.0,15.671641791044777,7.983193277310924
2023-11-03,2365.590087890625,2370.280029296875,2351.830078125,2368.340087890625,2368.340087890625,578700,-26.0,-111.0,-103.0,18.470149253731343,9.2436974789916
