date,기업,close,up,company_code,diffr,랭킹_차이,랭킹
2024-11-28,한화투자증권,3495,99,003530,-1.6878,0,1
2024-11-28,하나머티리얼즈,23800,99,166090,-0.2096,1,2
2024-11-28,와이씨,9920,98,232140,0.6085,-1,3
2024-11-28,코미코,37300,97,183300,-0.9296,1,4
2024-11-28,삼아알미늄,39400,97,006110,0.7673,6,5
2024-11-28,윤성에프앤씨,43250,97,372170,1.0514,20,6
2024-11-28,에어부산,2480,97,298690,0.6085,2,7
2024-11-28,디아이,11650,97,003160,-0.2568,0,8
2024-11-28,탑머티리얼,30200,96,360070,-0.1653,12,9
2024-11-28,YG PLUS,4830,96,037270,-4.1667,70,10
