date,기업,close,up,company_code,diffr,랭킹_차이,랭킹
2024-08-26,SK이노베이션,106500,92,096770,1.0436,1,1
2024-08-26,하나금융지주,68800,77,086790,2.2288,-1,2
2024-08-26,에스티팜,114500,74,237690,5.9204,3,3
2024-08-26,신한지주,61400,72,055550,2.3333,21,4
2024-08-26,씨젠,25750,69,096530,-3.3771,27,5
2024-08-26,한화생명,3010,63,088350,1.1765,-1,6
2024-08-26,기업은행,14370,59,024110,1.4831,-3,7
2024-08-26,KCC,298000,58,002380,-0.6667,11,8
2024-08-26,비에이치,20050,57,090460,-3.6058,25,9
2024-08-26,DB하이텍,40350,51,000990,-1.8248,-3,10
