date,sum_valuation_profit,d2_deposit,total_possess_count
20220104,-35819,98000200,1
20220105,-68709,94015280,3
20220106,-112383,94015280,3
20220107,60327,90118240,5
20220110,-104944,90118240,5
20220111,-352452,90118240,5
20220112,-219161,84182090,8
20220113,-476811,82186940,9
20220114,-693441,80187360,10
20220117,-945929,80187360,10
20220118,-1329017,74203340,13
20220119,-1734490,66281690,17
20220120,-650604,56319185,22
20220121,-1603277,56319185,22
20220124,-2933901,56319185,22
20220125,-4720929,57430872,21
20220126,-4461346,51454022,24
20220127,-6503751,47062791,26
20220128,-4837875,31186891,34
20220203,-3331124,29193291,35
20220204,-1993884,19335821,40
20220207,-1892577,17345921,41
20220208,-2221764,15375871,42
20220209,-615355,13376101,43
20220210,-2195617,13376101,43
20220211,-3587391,13376101,43
20220214,-6023937,16537451,41
20220215,-7251021,14599451,42
20220216,-3116613,4677324,47
20220217,-3302519,725729,49
20220218,-2163354,725729,49
20220221,-2170186,725729,49
20220222,-4607752,725729,49
20220223,-2695763,725729,49
20220224,-5677652,2315805,48
20220225,-2682199,317235,49
20220228,-1859960,317235,49
20220302,759944,317235,49
20220303,2628357,317235,49
20220304,2862460,317235,49
20220307,818127,317235,49
20220308,-1063674,1891954,48
20220310,838780,1891954,48
20220311,2299021,1891954,48
20220314,-21159,1891954,48
20220315,-1092602,1891954,48
20220316,850532,1891954,48
20220317,3365675,1891954,48
20220318,4241849,1891954,48
20220321,4411439,1891954,48
20220322,5741492,1891954,48
20220323,8030920,1891954,48
20220324,8526181,1891954,48
20220325,8807560,1891954,48
20220328,7937810,1891954,48
20220329,7936733,1891954,48
20220330,7996174,1891954,48
20220331,8858858,1891954,48
20220401,8529527,1891954,48
20220404,8711110,1891954,48
20220405,8587009,1891954,48
20220406,8105361,1891954,48
20220407,7290028,1891954,48
20220408,6911354,1891954,48
20220411,6035359,1891954,48
20220412,5586831,1891954,48
20220413,7195144,1406211,48
20220414,7866596,1406211,48
20220415,7964182,1406211,48
20220418,7314757,2973052,47
20220419,9324051,2973052,47
20220420,9684771,1002752,48
20220421,9302814,1002752,48
20220422,8849682,1002752,48
20220425,6048317,1002752,48
20220426,6730681,1002752,48
20220427,5384773,1002752,48
20220428,5962659,1002752,48
20220429,6569577,1002752,48
20220502,6453836,1002752,48
20220503,6196745,1002752,48
20220504,5740237,1002752,48
20220506,4685204,1002752,48
20220509,1623213,2326531,47
20220510,533569,1889386,47
20220511,209256,1889386,47
20220512,-1435850,3416347,46
20220513,594653,1476247,47
20220516,980621,3055751,46
20220517,1701745,3055751,46
20220518,424705,1057861,47
20220519,-1043582,1057861,47
20220520,330789,1057861,47
20220523,434515,1057861,47
20220524,-1241246,1057861,47
20220525,-772137,1057861,47
20220526,-223475,1057861,47
20220527,201633,655237,47
20220530,1626244,655237,47
20220531,2709005,655237,47
20220602,2240844,655237,47
20220603,2613547,655237,47
20220607,1556585,655237,47
20220608,1507044,655237,47
20220609,856048,2245821,46
20220610,685769,2245821,46
20220613,-4839614,1846424,46
20220614,-6928773,9337084,41
20220615,-9021391,10936095,40
20220616,-8095743,6557342,42
20220617,-7770294,7694309,41
20220620,-9437370,14062040,37
20220621,-8671607,13543441,37
20220622,-12505045,15140657,36
20220623,-15831551,21404381,32
20220624,-12583071,1515231,42
20220627,-9850605,1515231,42
20220628,-8317864,1515231,42
20220629,-8316958,1515231,42
20220630,-10370689,1515231,42
20220701,-11680116,1515231,42
20220704,-13110432,3085761,41
20220705,-10837156,1127961,42
20220706,-12718676,1127961,42
20220707,-11769071,1127961,42
