date,sum_valuation_profit,d2_deposit
20220104,90970,42070434
20220105,91800,37106594
20220106,-66140,35151844
20220107,453911,28709974
20220110,242821,26736274
20220111,-227046,24766164
20220112,177042,19771693
20220113,27008,11844703
20220114,-210997,11075670
20220117,-809982,8086675
20220118,-1627532,6748335
20220119,-1971393,3201346
20220120,-661089,391280
20220121,-1508521,390513
20220124,-2910038,10738235
20220125,-4005443,18474752
20220126,-4439986,5598464
20220127,-5514279,8924865
20220128,-4509994,538825
20220203,-3642288,401852
20220204,-2860226,385541
20220207,-2792865,565051
20220208,-3231092,565051
20220209,-2302398,731437
20220210,-2581860,789637
20220211,-3343262,660229
20220214,-4486772,505972
20220215,-4998170,899714
20220216,-3288042,81814
20220217,-3588215,957139
20220218,-3134021,940607
20220221,-3199066,961599
20220222,-4072196,136665
20220223,-3395276,136665
20220224,-4678801,956594
20220225,-3480866,956594
20220228,-3126910,271421
20220302,-2245945,3646085
20220303,-1252780,182207
20220304,-1536503,491000
20220307,-2626024,1642789
20220308,-3038165,1743258
20220310,-1951982,759758
20220311,-1455009,20652
20220314,-2445700,2789937
20220315,-2832237,717220
20220316,-1760427,717220
20220317,-504611,98803
20220318,-37218,2530802
20220321,-204053,752038
20220322,250191,752038
20220323,634456,77009
20220324,750399,368649
20220325,906532,634391
20220328,788455,558935
20220329,1109630,678639
20220330,985048,678639
20220331,1381415,1014410
20220401,1110193,172793
20220404,1455428,1429824
20220405,1423044,1554411
20220406,1160519,847501
20220407,399174,739348
20220408,390730,2588482
20220411,298402,557886
20220412,-15117,534266
20220413,866465,691306
20220414,1383818,2041310
20220415,1143593,141954
20220418,977796,141954
20220419,1881525,438428
20220420,2068058,601601
20220421,1900915,555717
20220422,1755099,310982
20220425,593229,202525
20220426,783031,165924
20220427,13275,373771
20220428,134732,373771
20220429,410123,409387
20220502,57709,186914
20220503,238967,272242
20220504,-41725,416709
20220506,-773158,2938208
20220509,-2165557,5419789
20220510,-2746123,17546519
20220511,-2745396,16065766
20220512,-3777834,10702864
20220513,-3146954,12400697
20220516,-3160304,7421182
20220517,-2711249,6441368
20220518,-2889199,5441768
20220519,-3131418,4439062
20220520,-2604434,1830206
20220523,-2508525,3808458
20220524,-3193502,6720591
20220525,-2924016,6620852
20220526,-2617718,5939149
20220527,-2365251,6930214
20220530,-1891664,8928454
20220531,-1859103,7817357
20220602,-2048713,6444585
20220603,-1815492,8691019
20220607,-2169268,8691019
20220608,-1992471,10853161
20220609,-2276864,11634605
20220610,-2461085,13498293
20220613,-3662012,24793104
20220614,-4071698,32831438
20220615,-4577553,33610164
20220616,-4654645,28617565
20220617,-4676781,17794782
20220620,-5867473,20175839
20220621,-5486805,16424974
20220622,-6817812,22530933
20220623,-7052292,30629886
20220624,-6053900,111627
20220627,-4858158,107981
20220628,-4742867,107981
20220629,-4740233,548193
20220630,-5970259,1445658
20220701,-6647093,323696
20220704,-7225999,224051
20220705,-5645916,224051
20220706,-6089329,348250
20220707,-5299728,348250
20220708,-4737567,812500
20220711,-4870948,943289
20220712,-6039354,1739523
20220713,-5143414,750623
20220714,-5070374,821893
20220715,-5278257,975992
20220718,-4360421,81163
20220719,-4021057,6246001
20220720,-3503241,5546556
20220721,-2999658,5899973
20220722,-2972209,6164631
20220725,-2889739,5361783
20220726,-3110898,19194968
20220727,-3118208,18100472
20220728,-2916703,17101652
20220729,-2620230,14144262
20220801,-2297949,16395521
20220802,-2541157,16387334
20220803,-2280481,12439090
20220804,-1861679,12697322
20220805,-1594737,14129088
20220808,-1193075,18198731
20220809,-1070338,18386438
20220810,-1044047,18533444
20220811,-892961,14568984
20220812,-692783,13959075
20220816,-733852,13959075
20220817,-882359,15038807
20220818,-988796,19335655
20220819,-1146175,17339994
20220822,-1707507,19087128
20220823,-1999718,5203334
20220824,-1436984,3282047
20220825,-581789,323479
20220826,-524180,3728393
20220829,-1648187,7678754
20220830,-1076048,763991
20220831,-764300,763991
20220901,-1715555,1576698
20220902,-1987114,718318
20220905,-2320138,477848
20220906,-1898087,525765
20220907,-2890548,925742
20220908,-2624765,1604348
20220913,-1282163,785781
20220914,-2077038,113794
20220915,-1943468,113794
20220916,-2547108,180819
20220919,-3474609,1085942
20220920,-2923809,958355
20220921,-3295863,666075
20220922,-3628640,256524
20220923,-4240106,11197627
20220926,-5603062,25844987
20220927,-5675960,17152337
20220928,-6502651,16549561
20220929,-6562028,12370137
20220930,-6471395,1550112
20221004,-4986631,338866
20221005,-5547246,1459243
20221006,-4363582,938542
20221007,-4409739,143991
20221011,-6183464,3486826
20221012,-5812056,621454
20221013,-7172236,2150840
20221014,-5830152,155765
20221017,-5536369,472209
20221018,-4703219,472209
20221019,-5077812,472209
20221020,-5696608,405562
20221021,-6312143,193718
20221024,-5553810,258758
20221025,-5671968,99829
20221026,-5757830,84028
20221027,-4715819,243499
20221028,-5206824,317295
20221031,-4905251,181316
20221101,-4265374,421745
20221102,-4093225,955261
20221103,-4375236,140040
20221104,-4047348,188544
20221107,-3407532,188544
20221108,-2325171,537438
20221109,-2236783,537438
20221110,-2562877,537438
20221111,-1158101,132464
20221114,-739475,888877
20221115,389787,2924596
20221116,225827,250128
20221117,-262351,372317
20221118,-503223,110448
20221121,-1248770,110448
20221122,-1299488,72898
20221123,-337328,364716
20221124,358618,608565
20221125,475226,675957
20221128,-504776,2718589
20221129,270108,968339
20221130,522170,131500
20221201,1106147,116062
20221202,744550,2571457
20221205,875352,754297
20221206,-152335,933049
20221207,-211401,225333
20221208,-746958,2593250
20221209,101470,648354
20221212,135883,845269
20221213,174796,684685
20221214,725603,939952
20221215,498018,950241
20221216,422600,396145
20221219,306732,456113
20221220,-535723,398754
20221221,-334512,427853
20221222,165164,427853
20221223,-924973,4113046
20221226,-955372,750614
20221227,-594999,658886
20221228,-1221804,457601
20221229,-1789577,6250087
20230102,-2553865,10033433
20230103,-2600032,863033
20230104,-1537694,863033
20230105,-1643983,828210
20230106,-982145,277049
20230109,-53179,385423
20230110,153579,501694
20230111,753566,501694
20230112,1005731,966596
20230113,1061548,129732
20230116,1293835,537439
20230117,1166349,964377
20230118,1015289,876844
20230119,1104793,37538
20230120,1275737,37538
20230125,1775627,37538
20230126,2568942,913799
20230127,2834749,111835
20230130,2436989,121372
20230131,2801580,214460
20230201,3113625,588294
20230202,3713331,204408
20230203,3934503,174406
20230206,4067074,317168
20230207,4146104,419331
20230208,4631221,668277
20230209,4337219,549947
20230210,4035955,681975
20230213,4179780,849712
20230214,4468054,37140
20230215,3516410,933688
20230216,4195248,875740
20230217,4236094,1001667
20230220,4617908,930471
20230221,4813657,299592
20230222,4067870,299592
20230223,4406538,194441
20230224,4082292,399539
20230227,3986422,649715
20230228,4290947,3672172
20230302,4480419,412996
20230303,4687623,729791
20230306,4657069,862415
20230307,4986696,8926378
20230308,4769545,9950700
20230309,5427328,10314954
